id,country,year,life_expectancy,country_name
3893682,ZAF,2019,65.25417,South Africa
3927048,NZL,2019,81.96268,New Zealand
3936768,MRT,2019,68.37999,Mauritania
3942753,DJI,2015,64.64274,Djibouti
3948822,AGO,2010,58.06943,Angola
3955799,NZL,2015,81.31198,New Zealand
3957911,GAB,2019,66.46912,Gabon
3975289,BRN,2000,72.20396,Brunei
3977168,BLZ,2000,70.34421,Belize
3992209,NOR,2000,78.53192,Norway
3992320,BRN,2010,74.567,Brunei
4005056,FSM,2019,63.02715,Micronesia (Federated States of)
4017853,EGY,2015,70.4922,Egypt
4023507,ITA,2019,82.97414,Italy
4025113,MAR,2010,71.59913,Morocco
4032977,VNM,2015,73.16457,Vietnam
4037127,JAM,2000,74.22007,Jamaica
4068766,MKD,2019,74.8186,North Macedonia
4073467,FRA,2010,81.21869,France
4075333,LCA,2010,75.1967,St. Lucia
4090436,AFG,2015,61.65429,Afghanistan
4090779,MUS,2015,74.13624,Mauritius
4097639,GTM,2015,70.94937,Guatemala
4101772,BEN,2010,60.47139,Benin
4103127,BRA,2015,75.13264,Brazil
4127456,ERI,2015,62.29015,Eritrea
4143268,BGD,2015,73.58051,Bangladesh
4146429,FIN,2000,77.59772,Finland
4155452,UZB,2019,73.00793,Uzbekistan
4157405,NAM,2000,53.31758,Namibia
4157999,UKR,2010,70.1993,Ukraine
4167459,NLD,2000,78.01108,Netherlands
4170069,BGR,2019,75.07156,Bulgaria
4180034,SRB,2015,75.20887,Serbia
4198118,NER,2015,61.53951,Niger
4200398,RUS,2019,73.23246,Russia
4202825,ARE,2015,75.31077,United Arab Emirates
4224962,MLI,2010,59.04575,Mali
4237654,IRL,2019,81.84092,Ireland
4237696,LSO,2000,47.82177,Lesotho
4253495,PRK,2010,70.182,North Korea
4268713,BIH,2000,75.41919,Bosnia & Herzegovina
4269082,TON,2015,72.33002,Tonga
4272089,SAU,2015,73.15216,Saudi Arabia
4278654,LKA,2019,76.86693,Sri Lanka
4282479,GIN,2015,58.81324,Guinea
4284367,GNB,2015,58.23238,Guinea-Bissau
4285644,MDA,2015,71.13158,Moldova
4290133,FSM,2015,62.74269,Micronesia (Federated States of)
4290520,SWZ,2019,57.72837,Eswatini
4315680,SYC,2010,73.01305,Seychelles
4328496,BFA,2000,51.64145,Burkina Faso
4333413,RUS,2000,65.29212,Russia
4341518,BEL,2019,81.42305,Belgium
4349869,VUT,2015,64.63885,Vanuatu
4372844,TTO,2000,69.70364,Trinidad & Tobago
4376191,PHL,2000,69.02835,Philippines
4381778,MNE,2019,75.87666,Montenegro
4420765,BHR,2019,75.81459,Bahrain
4423437,DJI,2010,61.8674,Djibouti
4428179,MDG,2010,62.79004,Madagascar
4428847,TCD,2019,59.63255,Chad
4439051,TJK,2010,68.00558,Tajikistan
4441076,DEU,2019,81.72252,Germany
4447612,CHN,2015,76.64185,China
4515922,IDN,2019,71.30966,Indonesia
4530791,PER,2010,77.28428,Peru
4545675,JOR,2015,77.8223,Jordan
4545779,CAF,2015,50.53056,Central African Republic
4555035,PAN,2015,78.71516,Panama
4562467,GRD,2010,71.96705,Grenada
4577869,NAM,2019,64.57598,Namibia
4580101,SVN,2000,76.05003,Slovenia
4590884,WSM,2000,68.50683,Samoa
4597858,MNE,2015,75.27178,Montenegro
4605337,PRY,2015,75.56395,Paraguay
4611968,ZAF,2000,55.75228,South Africa
4630338,MKD,2000,71.10777,North Macedonia
4641102,ISL,2010,81.68404,Iceland
4668462,SWZ,2010,47.42663,Eswatini
4668629,GEO,2000,69.40902,Georgia
4670723,NPL,2015,69.4259,Nepal
4684446,RUS,2015,71.29893,Russia
4691507,NLD,2015,81.28043,Netherlands
4693035,SYR,2019,72.67168,Syria
4706850,VNM,2010,72.72223,Vietnam
4718179,SOM,2015,54.56641,Somalia
4737302,LBY,2019,75.77909,Libya
4747383,PAN,2019,79.29353,Panama
4748888,THA,2010,76.25385,Thailand
4752690,SWE,2015,81.74503,Sweden
4757860,PRT,2010,79.73194,Portugal
4774170,CAF,2000,44.33932,Central African Republic
4775644,PHL,2015,70.29715,Philippines
4779148,SAU,2010,71.75653,Saudi Arabia
4805814,AFG,2010,59.94055,Afghanistan
4806979,CRI,2000,78.00478,Costa Rica
4811678,CHL,2015,79.81646,Chile
4827140,BRN,2015,74.40452,Brunei
4831883,KEN,2019,66.08511,Kenya
4841683,DNK,2000,76.93244,Denmark
4870371,KAZ,2019,73.95099,Kazakhstan
4881057,HRV,2015,77.5798,Croatia
4881982,NGA,2010,59.23747,Nigeria
4883617,PRK,2015,71.75806,North Korea
4900405,CHL,2010,78.46236,Chile
4907470,GMB,2010,62.42088,Gambia
4910598,TGO,2015,61.9192,Togo
4923101,CUB,2019,77.76285,Cuba
4925053,ISL,2015,82.13903,Iceland
4927159,IDN,2010,69.25565,Indonesia
4930615,FJI,2019,68.01035,Fiji
4946263,LBR,2010,60.70386,Liberia
4953527,KHM,2015,69.17362,Cambodia
4954533,CHE,2019,83.44616,Switzerland
4965806,KWT,2000,77.8641,Kuwait
4977099,NIC,2010,74.05313,Nicaragua
4988600,EGY,2000,69.82364,Egypt
4992363,VCT,2015,72.46788,St. Vincent & Grenadines
4998047,TGO,2019,64.27029,Togo
5017226,MMR,2015,67.57671,Myanmar (Burma)
5026891,MKD,2015,73.72823,North Macedonia
5029702,ARG,2019,76.57514,Argentina
5029851,BHS,2015,72.91566,Bahamas
5031397,KHM,2010,67.21539,Cambodia
5046652,PAN,2010,77.53473,Panama
5049541,LAO,2010,64.8849,Laos
5059758,DOM,2010,73.16863,Dominican Republic
5107206,GNQ,2000,54.31445,Equatorial Guinea
5116510,TKM,2000,63.31976,Turkmenistan
5137229,FIN,2010,79.87524,Finland
5157916,TCD,2015,57.9122,Chad
5160899,STP,2015,69.60426,São Tomé & Príncipe
5167841,SWE,2019,82.40387,Sweden
5172186,SDN,2015,67.93808,Sudan
5181373,CUB,2010,77.65455,Cuba
5194680,AZE,2000,65.52002,Azerbaijan
5212487,JAM,2010,75.7666,Jamaica
5231785,DJI,2000,59.84435,Djibouti
5233776,ROU,2010,73.70329,Romania
5235286,BIH,2015,76.31874,Bosnia & Herzegovina
5239052,ITA,2000,79.36485,Italy
5252590,MEX,2010,75.1333,Mexico
5256705,GUY,2019,65.6929,Guyana
5274738,CHL,2019,80.73621,Chile
5303540,TZA,2019,67.34418,Tanzania
9188,URY,2015,77.03117,Uruguay
10519,TON,2019,72.57066,Tonga
27845,SUR,2000,69.94162,Suriname
40770,KGZ,2000,65.9502,Kyrgyzstan
41384,CYP,2010,81.01904,Cyprus
69209,CHN,2019,77.43322,China
70234,BWA,2000,45.58516,Botswana
101765,MRT,2010,65.59114,Mauritania
104253,GHA,2010,61.99749,Ghana
106543,LKA,2015,76.26894,Sri Lanka
113005,VNM,2019,73.74126,Vietnam
116093,TUR,2019,78.62457,Turkey
119290,KIR,2000,55.7305,Kiribati
119605,BHS,2000,70.93668,Bahamas
120931,TUN,2015,76.69955,Tunisia
135301,MDA,2019,73.26277,Moldova
141306,MEX,2015,75.86538,Mexico
164087,LUX,2015,82.30824,Luxembourg
174556,VCT,2000,70.6085,St. Vincent & Grenadines
202630,COG,2019,64.73853,Congo - Brazzaville
203688,USA,2000,76.6916,United States
215911,ARE,2000,73.18027,United Arab Emirates
222742,ESP,2000,79.08088,Spain
227696,ITA,2015,82.20576,Italy
228084,MAR,2015,72.46462,Morocco
233296,MDA,2000,66.87234,Moldova
253859,MAR,2000,69.34715,Morocco
259737,DZA,2000,72.21101,Algeria
271214,SLV,2010,74.5043,El Salvador
283939,CPV,2000,70.97066,Cape Verde
302801,TLS,2019,69.62458,Timor-Leste
304683,TZA,2015,65.3562,Tanzania
306430,HTI,2015,62.60823,Haiti
307019,AZE,2015,70.6707,Azerbaijan
309660,AZE,2010,69.02677,Azerbaijan
325266,NER,2019,63.28761,Niger
336721,CMR,2010,56.58267,Cameroon
345677,KIR,2010,58.0072,Kiribati
360017,NER,2010,58.95322,Niger
360367,MDV,2015,78.40925,Maldives
363895,GHA,2019,66.27741,Ghana
364459,KWT,2015,81.13089,Kuwait
385413,FSM,2010,62.66982,Micronesia (Federated States of)
387653,LAO,2015,67.07706,Laos
401777,SYC,2019,73.34014,Seychelles
423374,ETH,2019,68.6994,Ethiopia
435938,BWA,2019,62.24785,Botswana
440028,LUX,2010,80.94445,Luxembourg
462654,PRY,2019,75.80984,Paraguay
471350,SEN,2000,58.59945,Senegal
479903,KHM,2000,58.68463,Cambodia
505258,JOR,2010,76.58584,Jordan
521493,VUT,2019,65.3064,Vanuatu
528891,RWA,2000,47.50621,Rwanda
534086,AFG,2019,63.2099,Afghanistan
540723,USA,2010,78.56299,United States
560221,MYS,2019,74.718,Malaysia
565076,MMR,2000,59.994,Myanmar (Burma)
579264,SLE,2000,48.72966,Sierra Leone
588936,CPV,2019,74.03075,Cape Verde
604274,COL,2015,78.35336,Colombia
606313,SEN,2019,68.57918,Senegal
610723,EGY,2019,71.81616,Egypt
631081,CAN,2010,81.3058,Canada
636957,BTN,2010,71.00534,Bhutan
641763,SYR,2010,74.34853,Syria
652954,GRC,2010,80.09935,Greece
659686,FJI,2000,65.89899,Fiji
665045,SLV,2015,73.24693,El Salvador
671965,MLT,2015,81.64819,Malta
701610,POL,2010,76.25071,Poland
711417,BIH,2019,76.75007,Bosnia & Herzegovina
733256,BRA,2000,71.46612,Brazil
753308,URY,2010,76.36115,Uruguay
765414,LBN,2015,75.98468,Lebanon
767343,SOM,2010,51.97965,Somalia
768764,MLI,2000,52.63884,Mali
768847,AUT,2000,78.16925,Austria
793965,SVK,2000,73.30185,Slovakia
